5S-Rrna-A1	5SDna-A1
5S-Rrna-A2	5SDna-A2
5S-Rrna-B1	5SDna-B1
5S-Rrna-B2	5SDna-B2
5S-Rrna-D1	5SDna-D1
5S-Rrna-D2	5SDna-D2
5S-Rrna-E1	5SDna-E1
5S-Rrna-H3	5SDNA-H3
5S-Rrna-H4	5SDNA-H4
5S-Rrna-H5	5SDNA-H5
5S-Rrna-H6	5SDNA-H6
5S-Rrna-Ht2	5SDna-Ht2
5S-Rrna-R1	5SDna-R1
5S-Rrna-R2	5SDna-R2
5S-Rrna-St1	5SDna-St1
5S-Rrna-Sc1	5SDna-Sc1
5S-Rrna-U2	5SDna-U2
5S-Rrna-V2	5SDna-V2
5S-Rrna-Y1	5SDna-Y1
Aadh-A1	Adh-A2
Aadh-A1a	
Aadh-A1b	
Aadh-A2	Adh-A3
Aadh-Age2	
Aadh-B1	Adh-B2
Aadh-B1a	
Aadh-B1b	
Aadh-B2	Adh-B3
Aadh-C1	
Aadh-D1	Adh-D2
Aadh-D2	Adh-D3
Aadh-E1	Adh-E2
Aadh-E2	Adh-E3
Aadh-R1	
Aadh-R2	
Aadh-V2	
Aco-A1	
Aco-A1a	
Aco-A1b	
Aco-A2	
Aco-Age1	
Aco-B1	
Aco-B1a	
Aco-B1b	
Aco-B1c	
Aco-B2	
Aco-B2a	
Aco-B2b	
Aco-B2c	
Aco-B2d	
Aco-D1	
Aco-D2	
Aco-E1	
Aco-E2	
Aco-H1	Aco-1
Aco-Mv2	Aco-Mv2
Aco-R1	
Aco-R2	
Aco-Sl1	
Aco-Ss1	
Aco-Ss2	
Aco-U1	
Acph-A1	Acph2,Acph3,Acph-B1
Acph-B1	Acph4,Acph8,Acph-A1
Acph-D1	Acph5,Acph6
Acph-D2	Acph1
Acph-H1	
Acph-Mv1	Aph-v,Acph-Mv1
Acph-R1	
Acph-Ss1	
Adh-A1	AdhB,Adh-B1
Adh-Agi1	Adh-X1
Adh-B1	Adh1,AdhA,Adh-A1
Adh-B1a	Adh11,Adh-A1a
Adh-B1b	Adh12,Adh-A1b
Adh-C1	G
Adh-D1	AdhD
Adh-E1	
Adh-H1	
Adh-Mv1	ADHmu,Adh-Mv1
Adh-R1	AdhR2
Adh-V1	
Adk-A1	Adk-a
Adk-Agi1	
Adk-B1	Adk-b
Adk-D1	Adk-d
Adk-E1	
Adk-H1	
Adk-H2	
Adk-Mv1	Adk-Mv1
Adk-R1	
Adk-U1	
AhasL-A1	Imi3
AhasL-B1	Imi2
AhasL-D1	Imi1
Alt1	
Alt2	AltBH
Amp-A1	
Amp-A1a	
Amp-A1b	
Amp-A2	
Amp-A2a	
Amp-A2b	
Amp-A3	
Amp-A3a	
Amp-A3b	
Amp-Age1	
Amp-Agi1	
Amp-Agi2	
Amp-B1	
Amp-B1a	
Amp-B1b	
Amp-B1c	
Amp-B2	
Amp-B2a	
Amp-B2b	
Amp-B2c	
Amp-C1	
Amp-D1	
Amp-D1a	
Amp-D1b	
Amp-D2	
Amp-D2a	
Amp-D2b	
Amp-D2c	
Amp-E1	
Amp-E2	
Amp-H1	
Amp-H2	
Amp-H3	
Amp-Hch2	
Amp-J2	
Amp-Mv2	
Amp-R1	
Amp-R2	
Amp-Sl2	
Amp-V2	
An5	
Apd1	
Apd1 Apd2	
Ar1	
B1	
B1a	
B1b	
B1c	
B2	
Ba1	Ba
Ba2	Ba
Bdv1	
Bdv2	
Bdv3	
Bla1	
Bls1	
Bls2	
Bls3	
Bls4	
Bls5	
Bo1	
Bo2	
Bo3	
Br-A1	Br2,Br-A2
Br-B1	Br3,Br-A3
Br-D1	Br1,Br61
Br-D2	
Br-S1	
Br4	
Bt1	M1
Bt10	
Bt11	
Bt12	
Bt13	
Bt14	
Bt15	
Bt2	H
Bt3	
Bt4	T
Bt5	
Bt6	R
Bt7	M2
Bt8	
Bt9	
Btp	
C	Cd
Cg	
Cat-B1	Cat-A1
Cdu1	Cdu1
Ce	
Ch1	ma
Ch2	mb,Ne3
Chr1	
Cmc1	
Cmc2	
Cmc3	
Cmc4	
Cn-A1	
Cn-B1	
Cn-D1	Cn3
Cr1	
Cre1	Cre
Cre2	
Cre3	CcnD1,Ccn-D1
Cre4	CcnD2,Ccn-D2
Cre5	CreX
Cre6	
Cre7	CreAet
Cre8	CreF
CreR	
CreX	
CreY	
Crr	
Cs1	Chl1
Cs2	Chl2
D1	G
D2	Bi
D3	A
D4	
Dfq1	
Dip-A1	Pept-A1
Dip-A1a	
Dip-A1b	
Dip-B1	Pept-B1
Dip-B1a	
Dip-B1b	
Dip-D1	
Dip-H1	Pept-1,Dip 1
Dip-J1	
Dip-V1	
Dn1	
Dn1881	
Dn2	
Dn2401	
Dn3	
Dn4	
Dn5	
Dn6	
Dn626580	
Dn7	Dn2414
Dn8	
Dn9	
Dnx	
Dreb-A1	
Dreb-B1	
Dreb-B1a	
Dreb-B1b	
Dreb-D1	
Ep-A1	
Ep-A1a	
Ep-A1b	
Ep-A1c	
Ep-A1d	
Ep-B1	Ep1
Ep-B1a	
Ep-B1b	
Ep-B1c	
Ep-B1d	
Ep-B1e	
Ep-B2	
Ep-D1	
Ep-D1a	
Ep-D1b	EP-V1
Ep-D1c	
Ep-D1d	
Ep-D1e	
Ep-E1	
Ep-H1	
Ep-Hch1	
Ep-Ht1	
Ep-Mv1	Ep-Mv1
Ep-R1	
Ep-Sb1	
Ep-Sl1	
Ep-Ss1	
Ep-U1	
Ep-V1	
Eps-1Am	Eps-Am1
Eps-5BL.1	
Eps-5BL.2	
Eps-A1a	
Eps-A1b	
Eps-D1	
EpsWi	
Est-A1	EstA
Est-A2	Est-2A
Est-A4	Est-4A
Est-A5	
Est-A5a	
Est-A5b	
Est-A6	
Est-A6a	
Est-A6b	
Est-A7	
Est-A8	Est-A6
Est-A9	
Est-Agi5	
Est-B1	EstB
Est-B2	Est-2B
Est-B3	Est-3B
Est-B4	Est-4B
Est-B5	
Est-B5a	
Est-B5b	
Est-B5c	
Est-B5d	
Est-B6	
Est-B6a	
Est-B6b	
Est-B7	
Est-B8	Est-B6
Est-B9	
Est-D1	EstD
Est-D2	Est-2D
Est-D3	Est-3D
Est-D4	Est-4D
Est-D5	
Est-D5a	
Est-D5b	
Est-D5c	
Est-D5d	
Est-D5e	
Est-D6	
Est-D6a	
Est-D6b	
Est-D7	
Est-D7a	
Est-D7b	
Est-D8	Est-D6
Est-D9	
Est-E1	
Est-E7	
Est-H1	
Est-H3	
Est-H5	
Est-H7	
Est-Hch5	
Est-M6	
Est-R1	EstR
Est-R5	EstA
Est-R6	
Est-R7	
Est-R8	
Est-Rm5	EstB
Est-Rm7	
Est-S11	
Est-Sb5	
Est-Sl5	
Est-U7	
Est-V7	
F3h-A1	
F3h-B1	
F3h-B2	
F3h-D1	
Fe1	
Fe2	
Fhb1	QFhs.ndsu-3BS
Fhb2	
Fhb3	
Fhb4	Qfhi.nau-4B
Fhb5	Qfhi.nau-5A
Fhb6	
Fhb7	FhbLoP
Fhs1	
Fhs2	
Fr-A2	
Fr-B2	Fr-B1
Fr1	
Fr2	
Gai1	GAI1
Gai2	GAI2
Gai3	GAI3
Gb1	gb1
Gb2	
Gb3	
Gb4	
Gb5	
Gb6	
Gb7	
Gba	
Gbb	
Gbc	
Gbd	
Gbx1	Gbx
Gbx2	Gbx
Gby	
Gbz	
Gc1-B1a	Gc1a,Gc1
Gc1-B1b	Gc1b
Gc1-C1	
Gc1-Sl1	Gc-S13
Gc2-Sl1a	Gc-S11
Gc2-Sl1b	Gc-S12
Gc3-C1	Gc-C
Gli-A1	Gld 1A
Gli-A1a	
Gli-A1aa	Gli-A1md
Gli-A1ab	Gli-A1me
Gli-A1ac	Gli-A1mf
Gli-A1ad	Gli-A1mg
Gli-A1ae	Gli-Au1-I
Gli-A1af	Gli-Au1-II
Gli-A1ag	Gli-Au1-III
Gli-A1ah	Gli-Au1-IV
Gli-A1ai	Gli-Au1-V
Gli-A1aj	Gli-Au1-VI
Gli-A1ak	Gli-Au1-VII
Gli-A1al	Gli-Au1-VIII
Gli-A1am	Gli-Au1-IX
Gli-A1an	Gli-Au1-X
Gli-A1ao	Gli-Au1-XI
Gli-A1ap	Gli-Au1-XII
Gli-A1aq	Gli-Au1-XIII
Gli-A1ar	Gli-Au1-XIV
Gli-A1as	Gli-Au1-XV
Gli-A1at	Gli-Au1-XVI
Gli-A1au	Gli-Au1-XVII
Gli-A1av	Gli-Au1-XVIII
Gli-A1aw	Gli-Au1-XIX
Gli-A1ax	Gli-Au1-XX
Gli-A1ay	Gli-Au1-XXI
Gli-A1az	Gli-Au1-XXII
Gli-A1b	
Gli-A1ba	Gli-Au1-XXIII
Gli-A1bb	Gli-Au1-XXIV
Gli-A1bc	Gli-Au1-XXV
Gli-A1bd	Gli-Au1-XXVI
Gli-A1c	
Gli-A1d	
Gli-A1e	
Gli-A1f	
Gli-A1g	
Gli-A1h	
Gli-A1i	
Gli-A1j	
Gli-A1k	
Gli-A1l	
Gli-A1m	
Gli-A1n	
Gli-A1o	
Gli-A1p	
Gli-A1q	
Gli-A1r	
Gli-A1s	
Gli-A1t	
Gli-A1u	
Gli-A1v	
Gli-A1w	
Gli-A1x	Gli-A1ma
Gli-A1y	Gli-A1mb
Gli-A1z	Gli-A1mc
Gli-A2	Gld 6A
Gli-A2a	
Gli-A2aa	
Gli-A2ab	
Gli-A2ac	
Gli-A2ad	
Gli-A2ae	
Gli-A2af	
Gli-A2ag	
Gli-A2ah	
Gli-A2ai	
Gli-A2aj	
Gli-A2ak	Gli-A2ma
Gli-A2al	Gli-A2mb
Gli-A2am	Gli-A2mc
Gli-A2an	Gli-A2md
Gli-A2ao	Gli-A2me
Gli-A2ap	Gli-A2mf
Gli-A2aq	Gli-A2mg
Gli-A2ar	Gli-A2mh
Gli-A2as	Gli-A2mi
Gli-A2at	Gli-A2mj
Gli-A2au	Gli-A2mk
Gli-A2av	Gli-A2ml
Gli-A2aw	Gli-A2mm
Gli-A2ax	Gli-A2mn
Gli-A2ay	Gli-Au2-I
Gli-A2az	Gli-Au2-II
Gli-A2b	
Gli-A2ba	Gli-Au2-II
Gli-A2bb	Gli-Au2-IV
Gli-A2bc	Gli-Au2-V
Gli-A2bd	Gli-Au2-VI
Gli-A2be	Gli-Au2-VII
Gli-A2bf	Gli-Au2-VIII
Gli-A2bg	Gli-Au2-IX
Gli-A2bh	Gli-Au2-X
Gli-A2bi	Gli-Au2-XI
Gli-A2bj	Gli-Au2-XII
Gli-A2bk	Gli-Au2-XIII
Gli-A2bl	Gli-Au2-XIV
Gli-A2bm	Gli-Au2-XV
Gli-A2bn	Gli-Au2-XVI
Gli-A2bo	Gli-Au2-XVII
Gli-A2bp	Gli-Au2-XVIII
Gli-A2bq	Gli-Au2-XIX
Gli-A2br	Gli-Au2-XX
Gli-A2bs	Gli-Au2-XXI
Gli-A2bt	Gli-Au2-XXII
Gli-A2bu	Gli-Au2-XXIII
Gli-A2bv	Gli-Au2-XXIV
Gli-A2bw	Gli-Au2-XXV
Gli-A2bx	Gli-Au2-XXVI
Gli-A2c	
Gli-A2d	
Gli-A2e	
Gli-A2f	
Gli-A2g	
Gli-A2h	
Gli-A2i	
Gli-A2j	
Gli-A2k	
Gli-A2l	
Gli-A2m	
Gli-A2n	
Gli-A2o	
Gli-A2p	
Gli-A2q	
Gli-A2r	
Gli-A2s	
Gli-A2t	
Gli-A2u	
Gli-A2v	
Gli-A2w	
Gli-A2x	
Gli-A2y	
Gli-A2z	
Gli-A3	Gld-2-1A
Gli-A3a	
Gli-A3b	
Gli-A3c	
Gli-A3d	
Gli-A5	
Gli-A5a	
Gli-A5b	
Gli-A6	
Gli-A6a	
Gli-A6b	
Gli-A6c	
Gli-A7	
Gli-Agi1	
Gli-Agi2	
Gli-B1	Gld 1B,Gld-B1,Gld-B2,Gld-B3,Gld-B4,Gld-B5,Gld-B6
Gli-B1a	
Gli-B1b	
Gli-B1c	
Gli-B1d	
Gli-B1e	
Gli-B1f	
Gli-B1g	
Gli-B1h	
Gli-B1i	
Gli-B1j	
Gli-B1k	
Gli-B1l	
Gli-B1m	
Gli-B1n	
Gli-B1o	
Gli-B1p	
Gli-B1q	
Gli-B1r	
Gli-B1s	
Gli-B1t	
Gli-B1u	
Gli-B1v	
Gli-B1w	
Gli-B1x	
Gli-B2	Gld 6B
Gli-B2a	
Gli-B2aa	
Gli-B2ab	
Gli-B2ac	
Gli-B2ad	
Gli-B2ae	
Gli-B2af	
Gli-B2ag	
Gli-B2ah	
Gli-B2ai	
Gli-B2aj	
Gli-B2ak	
Gli-B2al	
Gli-B2am	
Gli-B2an	
Gli-B2ao	
Gli-B2ap	
Gli-B2aq	
Gli-B2ar	
Gli-B2as	
Gli-B2at	
Gli-B2au	
Gli-B2b	
Gli-B2c	
Gli-B2d	
Gli-B2e	
Gli-B2f	
Gli-B2g	
Gli-B2h	
Gli-B2i	
Gli-B2j	
Gli-B2k	
Gli-B2l	
Gli-B2m	
Gli-B2n	
Gli-B2o	
Gli-B2p	
Gli-B2q	
Gli-B2r	
Gli-B2s	
Gli-B2t	
Gli-B2u	
Gli-B2v	
Gli-B2w	
Gli-B2x	
Gli-B2y	
Gli-B2z	
Gli-B3	Gld-B6,Glu-B2
Gli-B3a	
Gli-B3b	
Gli-B3c	
Gli-B5	
Gli-B5a	
Gli-B5b	
Gli-D1	Gld 1D,Gld-D1,Gld-D2,Gld-D3
Gli-D1a	
Gli-D1b	
Gli-D1c	
Gli-D1d	
Gli-D1e	
Gli-D1f	
Gli-D1g	
Gli-D1h	
Gli-D1i	
Gli-D1j	
Gli-D1k	
Gli-D1l	
Gli-D1m	
Gli-D1n	
Gli-D1o	
Gli-D2	Gld 6D
Gli-D2a	
Gli-D2aa	
Gli-D2ab	
Gli-D2ac	
Gli-D2ad	
Gli-D2ae	
Gli-D2b	
Gli-D2c	
Gli-D2d	
Gli-D2e	
Gli-D2f	
Gli-D2g	
Gli-D2h	
Gli-D2i	
Gli-D2j	
Gli-D2k	
Gli-D2l	
Gli-D2m	
Gli-D2n	
Gli-D2o	
Gli-D2p	
Gli-D2q	
Gli-D2r	
Gli-D2s	
Gli-D2t	
Gli-D2u	
Gli-D2v	
Gli-D2w	
Gli-D2x	
Gli-D2y	
Gli-D2z	
Gli-DT1	
Gli-DT1a	
Gli-E1	
Gli-Ht1	
Gli-R1	SecR1,Sec1
Gli-R2	Sec 2
Gli-R2a	
Gli-R2b	
Gli-R2c	
Gli-R2d	
Gli-R2e	
Gli-R3	
Gli-Rm1	
Gli-Rm2	
Gli-Sl1	
Gli-Sl2	
Gli-Sl3	
Gli-U1	
Gli-U2	
Gli-V1	
Gli-V2	
Gli-V3	
Gllu-A3y	Glu-A3mf
Glo-A1	
Glo-B1	
Glo-D1	
Glo-E1	
Glo-R1	
Glu-A1	Glt-A1,Glt-A2,Glu 1A
Glu-A1-1	
Glu-A1-1a	
Glu-A1-1b	
Glu-A1-1c	
Glu-A1-1d	
Glu-A1-1e	
Glu-A1-1f	
Glu-A1-1g	
Glu-A1-1h	
Glu-A1-1i	
Glu-A1-1j	
Glu-A1-1k	
Glu-A1-1l	
Glu-A1-1m	
Glu-A1-1n	
Glu-A1-1o	
Glu-A1-1p	
Glu-A1-1q	
Glu-A1-1r	
Glu-A1-1s	
Glu-A1-1t	
Glu-A1-1u	
Glu-A1-1v	
Glu-A1-1w	
Glu-A1-1x	
Glu-A1-2	
Glu-A1-2a	
Glu-A1-2b	
Glu-A1-2c	
Glu-A1a	
Glu-A1aa	Glu-A1mb
Glu-A1ab	Glu-A1mc
Glu-A1ac	Glu-Au1-I
Glu-A1ad	Glu-Au1-II
Glu-A1ae	Glu-Au1-III
Glu-A1af	Glu-Au1-IV
Glu-A1ag	Glu-Au1-V
Glu-A1ah	Glu-Au1-VI
Glu-A1ai	Glu-Au1-VII
Glu-A1aj	Glu-Au1-VIII
Glu-A1ak	Glu-Au1-IX
Glu-A1al	Glu-Au1-X
Glu-A1am	Glu-Au1-XI
Glu-A1an	Glu-Au1-XII
Glu-A1ao	Glu-Au1-XIII
Glu-A1ap	Glu-Au1-XIV
Glu-A1aq	Glu-Au1-XV
Glu-A1ar	Glu-Au1-XVI
Glu-A1as	Glu-Au1-XVII
Glu-A1at	Glu-Au3-XVIII
Glu-A1au	Glu-Au3-XIX
Glu-A1av	Glu-Au3-XX
Glu-A1aw	Glu-Au3-XXI
Glu-A1ax	Glu-Au3-XXII
Glu-A1ay	Glu-Au3-XXIII
Glu-A1az	Glu-Au3-XXIV
Glu-A1b	
Glu-A1ba	Glu-A1g
Glu-A1c	
Glu-A1d	
Glu-A1e	
Glu-A1f	
Glu-A1g	
Glu-A1h	GLU-A1-I
Glu-A1i	GLU-A1-II
Glu-A1j	GLU-A1-III
Glu-A1k	
Glu-A1l	
Glu-A1m	
Glu-A1n	Glu A1-IV,Glu-A1m
Glu-A1o	Glu A1-V,Glu-A1n
Glu-A1p	
Glu-A1q	Glu A1VI
Glu-A1r	
Glu-A1s	
Glu-A1t	
Glu-A1u	
Glu-A1v	
Glu-A1w	
Glu-A1x	
Glu-A1y	2''
Glu-A1z	Glu-A1ma
Glu-A3	
Glu-A3a	
Glu-A3aa	Glu-Au3-II
Glu-A3ab	Glu-Au3-III
Glu-A3ac	Glu-Au3-IV
Glu-A3ad	Glu-Au3-V
Glu-A3ae	Glu-Au3-VI
Glu-A3af	Glu-Au3-VII
Glu-A3ag	Glu-Au3-VIII
Glu-A3ah	Glu-Au3-IX
Glu-A3ai	Glu-Au3-X
Glu-A3aj	Glu-Au3-XI
Glu-A3ak	Glu-Au3-XII
Glu-A3al	Glu-Au3-XIII
Glu-A3am	Glu-Au3-XIV
Glu-A3an	Glu-Au3-XV
Glu-A3ao	Glu-Au3-XVI
Glu-A3ap	Glu-Au3-XVII
Glu-A3aq	Glu-Au3-XVIII
Glu-A3ar	Glu-Au3-XIX
