taxon_db_id	Scientifix name	Synonyms
5084	Hordeum L.	Barley, Orge
30	Hordeum vulgare	barley, orge
5091	Hordeum vulgare vulgare	Barley, Orge
130	Triticum	blé, wheat
4898	Triticum aestivum aestivum	Blé tendre, Bread wheat, Soft wheat
4896	Triticum aestivum compactum	Blé club, Blé hérisson, clubed wheat, Triticum compactum
4900	Triticum aestivum macha	Blé macha
4901	Triticum aestivum spelta	Epeautre, spelt, Triticum spelta
4897	Triticum aestivum sphaerococcum	Blé indien
4899	Triticum aestivum vavilovi	Blé de vavilov
4872	Triticum monococcum	Einkorn wheat
4880	Triticum monococcum boeoticum	Engrain sauvage, Wild einkorn wheat
4888	Triticum monococcum monococcum	Engrain, Petit epeautre
4878	Triticum monococcum urartu	Engrain sauvage, Wild einkorn wheat
4873	Triticum timopheevii	Timopheev's wheat
4874	Triticum turgidum	Emmer wheat, Hard wheat
4890	Triticum turgidum carthlicum	Blé de perse
4895	Triticum turgidum dicoccoïdes	Amidonnier sauvage
4894	Triticum turgidum dicoccum	Amidonnier, Dicoccon, Epeautre de tartarie
4893	Triticum turgidum durum	Blé dur
4891	Triticum turgidum polonicum	Blé de pologne
4879	Triticum turgidum turanicum	Blé de Khorassan
4892	Triticum turgidum turgidum	Blé poulard
