27608	1	36173	PI 381949	1
27709	10-1	36274	NSGC 18426  PI 648902	10-1
22465	1010 F3 SEL. 13C	2176	CI 14324	1010 F3 SEL. 13C
27502	10168	36036	PI 197472	10168
27386	10244	35920	CI 9305  CItr 9305  GRAECUM  PI 74101	10244
27650	1037a	36215	PI 525233	1037a
27638	105	36203	PI 481915	105
21602	10-5	35	10-5 VERSAILLES  FRA051:1241	
27651	1053c	36216	PI 525245	1053c
21603	10-60-270	36	FRA051:1242	
27115	1073	33942	FRA051:5	
27652	1089a	36217	PI 525265	1089a
27670	1116	36235	PI 559967	
16897	1136	29994	FRA051:482	
22268	114/62	1747	WW-290	114/62 1747
27653	1163	36218	PI 525296	
21611	119-1-11	83	FRA051:1255	
21612	1195-114	85	FRA051:1256	1195-114
21613	1195-114//CLEMENT/AZTECA	86	FRA051:1257	
21614	11IWSWSN14	92	WW-280	11IWSWSN14 92
27604	122/71	36169	PI 374584	122/71
21616	123-11	108	FRA051:1260	
27639	124	36204	PI 481924	124
16900	1267-110	34384	FRA051:483	
27357	131	35891	AUS 6965  CI 3089  CItr 3089  PI 24486	131
27654	1339	36219	PI 525324	1339
27640	134	36205	PI 481931	134
21620	13-4	131	13-4 VERSAILLES  FRA051:1264  INRA 13-4	
60697	134952	33823	PI 134952	33823
23916	1360-3238	5725	PI 243063	1360-3238
21625	13A	151	FRA051:1269  K 51692  REB75029	13A
60693	14140	33817	CI 14140	33817
27591	145-7	36156	PI 351874	145-7
16901	1504-2W	34402	FRA051:485	
21631	15-1	178	FRA051:1274	
21633	15-7-14	180	FRA051:1276	
21634	15-7-16	181	FRA051:1277	
21635	15-8-2	182	FRA051:1278	
16902	15887	34403	FRA051:486	
21641	159-2-6-1-4	193	FRA051:1283	
21642	159-2-6-2-8	194	FRA051:1284	
16903	15950	34404	FRA051:487	
16904	17520	34406	FRA051:489	
27605	180/71	36170	PI 374642	
21651	18-1	229	FRA051:1295	
21652	18-10	230	FRA051:1296	
27402	1823	35936	PI 119336	1823
23554	18-4-2-3	4766	FRA051:1301	
25117	18-6-6-2	8318	FRA051:1303	
21595	(210-13*M)1-37	27	FRA051:1181	
24841	(210-14*AV)14	7902	FRA051:1182	
24842	(210-14*AV)16	7903	FRA051:1183	
21667	2109-36	270	K 51698	2109-36
21668	218-2-7-1-4-5	274	FRA051:1319	
21699	2-19-2-4-4-5-1	360	FRA051:1353	
27521	22-142	36055	PI 225383	22-142
27394	224	35928	PI 94544	224
24673	236-3-4	7453	FRA051:3757	
27420	24	35954	PI 145719	24
21660	2-4-4-2	250	FRA051:1312	
21628	248-8A-2-3-11-10-5-2	160	FRA051:1326	
21677	2511	297	FRA051:1331	
21682	2635	316	FRA051:1335	
21683	264-1	317	FRA051:1336	
48306	2643-2 (2011)	39345	WW-237	
48307	2661-2 (2011)	39346	IG 116165  WW-238	
21685	2678-6	321	BULG.17	2678-6
21686	268-4-1-1-7	323	FRA051:1339	
21687	268-4-1-2	324	FRA051:1341	
21627	268-4-1-2-11-7-4-3-4	159	FRA051:1340	
48308	2794-1	39347	1960  WW-239	
27634	280	36199	PI 462111	280
21694	2838-39	347	WW-311	2838-39 347
21693	283-9-11	346	FRA051:1348	
21695	29-3-20	349	FRA051:1349	
27515	3	36049	PI 221699	3
21703	3006-44	366	K 51700	3006-44
16905	30149	34407	FRA051:497	
27341	3144-19	35875	CI 15412	3144-19
21705	31-6-10-2-5-4	374	FRA051:1357	
21707	32-1-6-10-9-3	380	FRA051:1358	
21708	32-1-6-3-6-2	381	FRA051:1359	
21709	32-1-6-3-6-4	382	FRA051:1360	
25673	32-1-6-7-8-7	13732	FRA051:1361	
23917	3237	5727	PI 245481	3237
21710	32-4-11-3-1	384	FRA051:1362	
23918	3321	5728	PI 245504	3321
60694	341300	33819	PI 341300	33819
21713	342	391	390  FRA051:1365	
21714	35-15-8-5	400	FRA051:1367	
60662	352365	33764	ICARDA-IG-86141  PI 352365	33764
60663	355484	33765	PI 355484	33765
27421	36	35955	ICARDA-IG-82645  PI 145719	36
21723	3716-1	421	BULG.22  FRA051:9000  WW-281	3716-1 421
27395	374~ROUX	35929	PI 94554	374~ROUX
27396	375	35930	PI 94555	375
25265	(3-7*PE63)22	8693	FRA051:1185	
60692	384266	33816	PI 384266	33816
60696	387456	33822	PI 387456	33822
21727	395	438	FRA051:1378	
21735	405-4-6-1	454	FRA051:1386	
27440	4109	35974	PI 171033	4109
60665	415152	33767	PI 415152	33767
27409	4157	35943	PI 127097	4157
27410	4201	35944	PI 127100	4201
27411	4261	35945	PI 127107	4261
21737	427-3-5-3	459	FRA051:1388	
60675	428133	33777	PI 428133	33777
27547	43	36081	PI 264944	43
