ID:0000000	/FSOV Concept/plant property
ID:00000003	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to phytoplasma
ID:0000001	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress
ID:00000018	/FSOV Concept/plant property/milling quality/undersized grain
ID:0000002	/FSOV Concept/plant property/response to environmental condition/response to biotic stress
ID:00000020	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to phytoplasma/resistance to aster yellows phytoplasma
ID:00000021	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/phytoplasma disease
ID:00000022	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/phytoplasma
ID:00000023	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Bunt
ID:00000025	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Bunt/Common Bunt
ID:00000026	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Bunt/Dwarf bunt
ID:0000003	/FSOV Concept/plant property/development character
ID:00000043	/FSOV Concept/plant property/milling quality/admixture
ID:0000005	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity
ID:0000006	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance
ID:00000066	/FSOV Concept/plant property/milling quality/shrivelled grain
ID:00000068	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/fungal disease/Bunt/Karnal bunt
ID:0000008	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/extreme temperature resistance
ID:0000009	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/wind resistance
ID:00000097	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to bacterial disease/resistance to bacterial stripe
ID:0000010	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/response to water stress/response to water deficiency/drought tolerance
ID:0000012	/FSOV Concept/plant property/development character/lodging resistance
ID:0000013	/FSOV Concept/plant property/development character/plant habit
ID:0000014	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/stress from soil/salt resistance
ID:00000141	/FSOV Concept/environmental condition/biotic condition/biotic stress/disease/bacterial disease/bacterial stripe
ID:00000142	/FSOV Concept/environmental condition/biotic condition/biotic stress/pest/pathogen/bacteria/Rathayibacter tritici
ID:00000143	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to smut
ID:00000145	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Foot Rot/resistance to Rhizoctonia Root Rot
ID:00000146	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Crown Rot
ID:0000016	/FSOV Concept/plant property/development character/vernalization
ID:0000017	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/photosensitivity
ID:0000019	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity/resistance to chemicals
ID:0000024	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/chemosensitivity/resistance to chemicals/resistance to herbicides
ID:00000243	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Crown Rot/resistance to Fusarium spp.
ID:0000027	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/response to water stress/flooding tolerance
ID:00000279	/FSOV Concept/plant property/response to environmental condition/response to biotic stress/pest resistance/pathogen resistance/resistance to a fungal pathogen/resistance to root rot/resistance to Fusarium Root Rot
ID:0000028	/FSOV Concept/plant property/response to environmental condition/response to abiotic stress/extreme temperature resistance/heat resistance
